"","DBS1","DBS2","DBS3","DBS4","DBS5","DBS6","DBS7","DBS8","DBS9","DBS10","DBS11"
"tcga_ab.2804",0.0921264192935266,0.0907329949389051,0.0898211105534453,0.0944768375296244,0.0898383040930147,0.0904663369825143,0.0884954249050754,0.0936553685738592,0.0884696734672211,0.0901342270595345,0.0917833026032795
"test1",0.0763218127752611,0.0736819329719509,0.0782556462429889,0.0744692458087944,0.0792678773018783,0.0762277757801288,0.107486666465017,0.0801451678612797,0.181295710457251,0.0737451938726556,0.099102970462794
"test2",0.0780391162202781,0.0694643004682952,0.0815524456421094,0.0756949023484842,0.078867209741064,0.0764557114629682,0.108512423163476,0.079295270847777,0.178436348456591,0.0781788464197282,0.0955034252292279
"test3",0.0915971616872226,0.0877409073199412,0.0950688358435492,0.0903554566856533,0.0879633274164418,0.0925223312965754,0.091283886106174,0.0879664327768146,0.0929173644608299,0.0905991243756673,0.0919851720311309
